id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_nama_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,kemendagri_kode_desa_kelurahan,kemendagri_nama_desa_kelurahan,jumlah_gempa_bumi,satuan,tahun
1,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203010,AGRABINTA,3203010001,SINARLAUT,32.03.22,AGRABINTA,32.03.22.2010,SINARLAUT,0,KEJADIAN,2022
2,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203010,AGRABINTA,3203010002,BOJONGKASO,32.03.22,AGRABINTA,32.03.22.2005,BOJONGKASO,0,KEJADIAN,2022
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203010,AGRABINTA,3203010003,SUKAMANAH,32.03.22,AGRABINTA,32.03.22.2004,SUKAMANAH,0,KEJADIAN,2022
4,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203010,AGRABINTA,3203010004,WANASARI,32.03.22,AGRABINTA,32.03.22.2007,WANASARI,0,KEJADIAN,2022
5,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203010,AGRABINTA,3203010007,KARANGSARI,32.03.22,AGRABINTA,32.03.22.2016,KARANGSARI,0,KEJADIAN,2022
6,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203010,AGRABINTA,3203010008,NEGLASARI,32.03.22,AGRABINTA,32.03.22.2014,NEGLASARI,0,KEJADIAN,2022
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203010,AGRABINTA,3203010009,MULYASARI,32.03.22,AGRABINTA,32.03.22.2017,MULYASARI,0,KEJADIAN,2022
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203010,AGRABINTA,3203010010,BUNISARI,32.03.22,AGRABINTA,32.03.22.2006,BUNISARI,0,KEJADIAN,2022
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203010,AGRABINTA,3203010011,MEKARSARI,32.03.22,AGRABINTA,32.03.22.2019,MEKARSARI,0,KEJADIAN,2022
10,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203010,AGRABINTA,3203010012,TANJUNGSARI,32.03.22,AGRABINTA,32.03.22.2018,TANJUNG SARI,0,KEJADIAN,2022
11,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203010,AGRABINTA,3203010013,WANGUNJAYA,32.03.22,AGRABINTA,32.03.22.2022,WANGUNJAYA,0,KEJADIAN,2022
12,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203011,LELES,3203011001,PUSAKASARI,32.03.30,LELES,32.03.30.2001,PUSAKASARI,0,KEJADIAN,2022
13,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203011,LELES,3203011002,NAGASARI,32.03.30,LELES,32.03.30.2006,NAGASARI,0,KEJADIAN,2022
14,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3203011,LELES,3203011003,SUKAJAYA,32.03.30,LELES,32.03.30.2005,SUKAJAYA,0,KEJADIAN,2022
